range_counter, time, receiver_id, requester_position[1], requester_position[2], requester_position[3], receiver_position[1], receiver_position[2], receiver_position[3], range, true_range
16, 1.606695351999918e9, 4, -1.5023636643716577e6, 1.450697341717082e6, 6.6096103018032145e6, -1.5026004789507906e6, 1.4507937921034696e6, 6.609436309991629e6, 310.10819369064103, 309.28461394492365
17, 1.606695411999918e9, 2, -1.6019736993009155e6, 1.8789886047600347e6, 6.477452484415131e6, -1.602125353330926e6, 1.8791122474838994e6, 6.477459996740437e6, 192.63209267930185, 195.81343931054548
17, 1.606695411999918e9, 3, -1.6019736993009155e6, 1.8789886047600347e6, 6.477452484415131e6, -1.6020889763238458e6, 1.8789238601204145e6, 6.47738300297666e6, 146.69818321193628, 149.3597357631129
17, 1.606695411999918e9, 4, -1.6019736993009155e6, 1.8789886047600347e6, 6.477452484415131e6, -1.602217116941466e6, 1.8790900630472365e6, 6.477262945898693e6, 328.52338101992893, 324.7626533123734
18, 1.606695471999918e9, 2, -1.691031452066568e6, 2.3000872892982676e6, 6.317454214177798e6, -1.6911875618383347e6, 2.300216012298622e6, 6.317464616158376e6, 203.20885292134093, 202.60324000692847
18, 1.606695471999918e9, 3, -1.691031452066568e6, 2.3000872892982676e6, 6.317454214177798e6, -1.691149829509517e6, 2.3000208069276363e6, 6.317378890967419e6, 155.06422251290803, 155.26335892789905
18, 1.606695471999918e9, 4, -1.691031452066568e6, 2.3000872892982676e6, 6.317454214177798e6, -1.6912801157398617e6, 2.3001930482908376e6, 6.317248816552815e6, 338.2402042257012, 339.4212298513942
19, 1.606695531999918e9, 2, -1.7692273565896824e6, 2.7121017253476735e6, 6.130300258039912e6, -1.7693874939717427e6, 2.7122354006586536e6, 6.130314560939969e6, 210.8726314147699, 209.08764394091224
19, 1.606695531999918e9, 3, -1.7692273565896824e6, 2.7121017253476735e6, 6.130300258039912e6, -1.7693481503819323e6, 2.7120335490519768e6, 6.130218690633068e6, 158.01130775104983, 160.91112267443566
19, 1.606695531999918e9, 4, -1.7692273565896824e6, 2.7121017253476735e6, 6.130300258039912e6, -1.769479883596564e6, 2.7122109823373742e6, 6.130078806491794e6, 353.13803417744185, 353.19649936959667
20, 1.606695591999918e9, 2, -1.8363142485962547e6, 3.1131757618581834e6, 5.91679130606024e6, -1.8364780324685923e6, 3.113314383837909e6, 5.916810649803581e6, 216.2222073951423, 215.44231364185586
20, 1.606695591999918e9, 3, -1.8363142485962547e6, 3.1131757618581834e6, 5.91679130606024e6, -1.836436735122379e6, 3.113105858016452e6, 5.916703070404429e6, 167.2888021156032, 166.35812912853982
20, 1.606695591999918e9, 4, -1.8363142485962547e6, 3.1131757618581834e6, 5.91679130606024e6, -1.836569242629021e6, 3.113287630866856e6, 5.916553737504942e6, 366.14400739191007, 366.0265705024479
21, 1.606695651999918e9, 2, -1.8921080764656148e6, 3.501497123633148e6, 5.677840774824712e6, -1.8922751781309766e6, 3.5016408341119965e6, 5.6778664156777365e6, 221.78578106747366, 221.88537951225132
21, 1.606695651999918e9, 3, -1.8921080764656148e6, 3.501497123633148e6, 5.677840774824712e6, -1.8922314956635998e6, 3.501425372478469e6, 5.677745433430891e6, 171.24876734042186, 171.66976438781938
21, 1.606695651999918e9, 4, -1.8921080764656148e6, 3.501497123633148e6, 5.677840774824712e6, -1.8923641398142506e6, 3.5016106495124516e6, 5.677587170200789e6, 378.96165677290486, 377.8516495416791
22, 1.606695711999918e9, 2, -1.9364883397030022e6, 3.8753056097904104e6, 5.414471142604949e6, -1.9366584865386826e6, 3.8754547251240574e6, 5.414504435349737e6, 231.29041641052962, 228.67823524820872
22, 1.606695711999918e9, 3, -1.9364883397030022e6, 3.8753056097904104e6, 5.414471142604949e6, -1.9366118988435396e6, 3.8752317983631776e6, 5.414368253473985e6, 182.2929279352936, 176.92134204499135
22, 1.606695711999918e9, 4, -1.9364883397030022e6, 3.8753056097904104e6, 5.414471142604949e6, -1.9367440849744028e6, 3.8754197857050644e6, 5.414201736311492e6, 387.84651593819154, 388.61489200141074
23, 1.606695771999918e9, 2, -1.9693981024424925e6, 4.232901182957293e6, 5.127809818086437e6, -1.969571079652576e6, 4.233056217224705e6, 5.1278521954969345e6, 238.1012025117478, 236.1198513485898
23, 1.606695771999918e9, 3, -1.9693981024424925e6, 4.232901182957293e6, 5.127809818086437e6, -1.9695209799897117e6, 4.232824996888605e6, 5.127698946454395e6, 185.2589550441885, 182.1969469129483
23, 1.606695771999918e9, 4, -1.9693981024424925e6, 4.232901182957293e6, 5.127809818086437e6, -1.9696521643846123e6, 4.2330149687844915e6, 5.12752500524499e6, 397.1631311302081, 398.26252592758954
24, 1.606695831999918e9, 2, -1.990843775276338e6, 4.572651796488765e6, 4.819084551862818e6, -1.991019427000429e6, 4.57281348445654e6, 4.819137498632062e6, 244.21285872475138, 244.5401551338123
24, 1.606695831999918e9, 3, -1.990843775276338e6, 4.572651796488765e6, 4.819084551862818e6, -1.9909651264830173e6, 4.572572815578203e6, 4.818965281047901e6, 191.55640683626586, 187.5889839162044
24, 1.606695831999918e9, 4, -1.990843775276338e6, 4.572651796488765e6, 4.819084551862818e6, -1.9910948223851451e6, 4.572764139245564e6, 4.818784892263221e6, 406.74473723366793, 406.74490958915425
25, 1.606695891999918e9, 2, -2.000894524815516e6, 4.893001003185968e6, 4.489618399443851e6, -2.0010727527246035e6, 4.893170319628047e6, 4.489683423116891e6, 255.20162466036876, 254.28590836209415
25, 1.606695891999918e9, 3, -2.000894524815516e6, 4.893001003185968e6, 4.489618399443851e6, -2.0010134877145106e6, 4.89291869737429e6, 4.489490343423062e6, 194.17848210467352, 193.19617603215852
25, 1.606695891999918e9, 4, -2.000894524815516e6, 4.893001003185968e6, 4.489618399443851e6, -2.0011412695468122e6, 4.893110858809153e6, 4.489304618454177e6, 417.00562928095235, 414.01658161047396
26, 1.606695951999918e9, 2, -1.9996813664942933e6, 5.192475273361818e6, 4.140824249707314e6, -1.9998621264749784e6, 5.192653449746325e6, 4.1409028476423128e6, 267.5360931048934, 265.7040270662181
26, 1.606695951999918e9, 3, -1.9996813664942933e6, 5.192475273361818e6, 4.140824249707314e6, -1.999797068278905e6, 5.192388999635657e6, 4.140687067262594e6, 197.97544226234345, 199.12077221460723
26, 1.606695951999918e9, 4, -1.9996813664942933e6, 5.192475273361818e6, 4.140824249707314e6, -1.9999225755095622e6, 5.192581628817587e6, 4.1404972362416997e6, 420.64464634863606, 420.0369968372559
