range_counter,time,requester_id,requester_position_x,requester_position_y,requester_position_z,requester_velocity_x,requester_velocity_y,requester_velocity_z,receiver_id,receiver_position_x,receiver_position_y,receiver_position_z,range_measurement,true_range
17,1.606695411999918e9,2,-1.6021337880764697e6,1.8790531612443358e6,6.477555203290239e6,-1573.2834930945123,7083.603035770304,-2436.1786590736565,4,-1.6023208373663807e6,1.8789498956071879e6,6.477601644580811e6,216.32751880826694,218.65045653238136
18,1.606695471999918e9,2,-1.6911977833420911e6,2.300155417710438e6,6.3175692829387095e6,-1394.6562873577477,6947.882290227778,-2894.78214325761,1,-1.6912223276289846e6,2.3000201823802716e6,6.317624406238613e6,148.6971043043824,148.08644345961204
18,1.606695471999918e9,2,-1.6911977833420911e6,2.300155417710438e6,6.3175692829387095e6,-1394.6562873577477,6947.882290227778,-2894.78214325761,3,-1.6913896554626203e6,2.300027451341286e6,6.317420791157649e6,275.04998943936056,274.299309720007
18,1.606695471999918e9,2,-1.6911977833420911e6,2.300155417710438e6,6.3175692829387095e6,-1394.6562873577477,6947.882290227778,-2894.78214325761,4,-1.6913916933018076e6,2.3000498370297467e6,6.31762234191553e6,225.70359561450812,227.07621547339144
19,1.606695531999918e9,2,-1.7693997128201497e6,2.712173904382277e6,6.130429151848454e6,-1211.3880663566142,6780.909477787084,-3340.9969279094184,1,-1.7694258729658052e6,2.712035077378042e6,6.130488970304283e6,150.65426561133899,153.41296549939622
19,1.606695531999918e9,2,-1.7693997128201497e6,2.712173904382277e6,6.130429151848454e6,-1211.3880663566142,6780.909477787084,-3340.9969279094184,3,-1.7695950953579436e6,2.712042375014421e6,6.13026795335442e6,283.65198194551436,285.4106955986154
19,1.606695531999918e9,2,-1.7693997128201497e6,2.712173904382277e6,6.130429151848454e6,-1211.3880663566142,6780.909477787084,-3340.9969279094184,4,-1.7695998624315292e6,2.7120667749767536e6,6.130489311207297e6,238.12447234824765,234.85255995951704
20,1.606695591999918e9,2,-1.8364924650819004e6,3.1132526708035236e6,5.916935589438467e6,-1024.525812656625,6583.346914517608,-3772.916654480746,1,-1.8365201756988948e6,3.113110885369754e6,5.916999908034485e6,159.00518548724477,158.13876601624057
20,1.606695591999918e9,2,-1.8364924650819004e6,3.1132526708035236e6,5.916935589438467e6,-1024.525812656625,6583.346914517608,-3772.916654480746,3,-1.836690083425417e6,3.113117439697121e6,5.916760734553304e6,295.4813688328032,296.5041191937117
20,1.606695591999918e9,2,-1.8364924650819004e6,3.1132526708035236e6,5.916935589438467e6,-1024.525812656625,6583.346914517608,-3772.916654480746,4,-1.8366982143013861e6,3.1131448145840145e6,5.917003300818131e6,241.21369912758044,241.97218092545964
21,1.606695651999918e9,2,-1.892292043387988e6,3.501579666070674e6,5.6780020784578705e6,-835.1257928899714,6355.9950657600775,-4188.692208337123,1,-1.89232120490056e6,3.5014355328034125e6,5.67807060759768e6,162.16337961920325,162.23758981810087
21,1.606695651999918e9,2,-1.892292043387988e6,3.501579666070674e6,5.6780020784578705e6,-835.1257928899714,6355.9950657600775,-4188.692208337123,3,-1.8924905514026785e6,3.501440413770042e6,5.677812584908239e6,307.42418442476117,307.74086579435544
21,1.606695651999918e9,2,-1.892292043387988e6,3.501579666070674e6,5.6780020784578705e6,-835.1257928899714,6355.9950657600775,-4188.692208337123,4,-1.8925027335983552e6,3.5014719575116453e6,5.678077753163539e6,248.66350068527538,248.43139799686915
22,1.606695711999918e9,2,-1.9366780018773673e6,3.8753949363098796e6,5.414651135543932e6,-644.2482258538026,6099.7901201521245,-4586.539535833287,1,-1.9367084778670305e6,3.87524902720304e6,5.414723491529322e6,166.478910876851,165.69140601251075
22,1.606695711999918e9,2,-1.9366780018773673e6,3.8753949363098796e6,5.414651135543932e6,-644.2482258538026,6099.7901201521245,-4586.539535833287,3,-1.9368759884772361e6,3.8752511456930437e6,5.414446008658081e6,320.16223378684515,319.2984098247043
22,1.606695711999918e9,2,-1.9366780018773673e6,3.8753949363098796e6,5.414651135543932e6,-644.2482258538026,6099.7901201521245,-4586.539535833287,4,-1.936892956307302e6,3.875288298065685e6,5.414735135512443e6,253.76936692850333,254.2304403160597
23,1.606695771999918e9,2,-1.9695934574100722e6,4.232998710567056e6,5.128010176397099e6,-452.95170925772163,5815.800858027056,-4964.747322911821,1,-1.9696250723474799e6,4.232851541788767e6,5.128085884849185e6,169.1985966706076,168.49309566760377
